Query,Handle,Title,Product Type,Color,Fabric,Craft,Official Description,LLM Image Description
white cotton kurta with floral embroidery,waheeda-kurta-set-ivory,Waheeda Kurta Set,Kurta Set,White,Cotton,Embroidery,This is an off-white cotton short kurta with flared sleeves and has been beautifully embellished with embroidered floral and bird motifs. It comes with a pair of embroidered off-white cotton pants and an embroidered off-white georgette dupatta.,"The dress is a three-piece set featuring an off-white kurta with a round neckline and delicate floral embroidery along the placket, a matching dupatta with a blue and yellow border and floral embroidery, and straight-leg pants with similar floral embroidery at the hem, the kurta also has gold floral print on the lower half.
"
white cotton kurta with floral embroidery,shazi-long-kurta-set-3358,Shazi Long Kurta Set,Kurta Set,White,Chanderi,"Thread Embroidery, Cut Work","Elevate your style with our off-white handwoven chanderi mulmul straight kurta set. This exquisite kurta features a stand collar with a slit, three-quarter sleeves, and a scalloped hemline that adds a graceful touch. Paired with ankle-length scalloped pants. The set is accentuated with delicate off-white silk thread embroidered floral motifs. Complete your look with a matching dupatta, enhanced with delicate cutwork, for a truly sophisticated ensemble.","The dress is a light-colored, possibly white or off-white, long-sleeved kurta with a V-neck and mandarin collar, featuring delicate floral embroidery along the neckline, sleeves, and side seams, complemented by matching embroidered pants.
"
white cotton kurta with floral embroidery,cynthia-kurta-set,Cynthia Kurta Set,Kurta Set,"Pink, White","Chanderi, Cotton","Thread Embroidery, Swarovski",This set features pearl blush chanderi cotton embroidered kurta highlighted with Swarovski crystals. It comes along with a lycra crepe churidar and an embroidered pearl blush-ivory dupatta,"The dress is a light peach-colored kurta with a round neckline and a button-down placket featuring four large buttons, adorned with intricate white floral embroidery around the neckline, placket, and cuffs, and it includes a sheer white dupatta with peach-colored floral embroidery along the edges.
"
white cotton kurta with floral embroidery,ruhma-kurta-set-ivory,Ruhma Kurta Set,Kurta Set,White,"Cotton, Mulmul","Pearl Work, Sequin Embroidery, Thread Embroidery","This set consists of an off-white cotton straight kurta, a pair of pants and a mul dupatta. All adorned with Parsi embroidery.","The dress is a white salwar kameez with gold embroidery, featuring floral patterns and scalloped edges, paired with light blue pants that also have gold embroidery at the cuffs.
"
white cotton kurta with floral embroidery,aairah-kurta-set,Aairah Kurta Set,Kurta Set,Peach,"Organza, Silk",Zardoz,This set features a silk organza a-line embroidered shirt with churidar and a peach organza dupatta.,"The ensemble features a light green, heavily embroidered kurta with a V-neckline and three-quarter sleeves, paired with matching fitted pants, and a sheer peach dupatta adorned with floral embellishments and a gold border.
"
white cotton kurta with floral embroidery,waheeda-kurta-set-ivory,Waheeda Kurta Set,Kurta Set,White,Cotton,Embroidery,This is an off-white cotton short kurta with flared sleeves and has been beautifully embellished with embroidered floral and bird motifs. It comes with a pair of embroidered off-white cotton pants and an embroidered off-white georgette dupatta.,"The dress is a three-piece set featuring an off-white kurta with a round neckline and delicate floral embroidery along the placket, a matching dupatta with a blue and yellow border and floral embroidery, and straight-leg pants with similar floral embroidery at the hem, the kurta also has gold floral print on the lower half.
"
white cotton kurta with floral embroidery,shazi-long-kurta-set-3358,Shazi Long Kurta Set,Kurta Set,White,Chanderi,"Thread Embroidery, Cut Work","Elevate your style with our off-white handwoven chanderi mulmul straight kurta set. This exquisite kurta features a stand collar with a slit, three-quarter sleeves, and a scalloped hemline that adds a graceful touch. Paired with ankle-length scalloped pants. The set is accentuated with delicate off-white silk thread embroidered floral motifs. Complete your look with a matching dupatta, enhanced with delicate cutwork, for a truly sophisticated ensemble.","The dress is a light-colored, possibly white or off-white, long-sleeved kurta with a V-neck and mandarin collar, featuring delicate floral embroidery along the neckline, sleeves, and side seams, complemented by matching embroidered pants.
"
white cotton kurta with floral embroidery,cynthia-kurta-set,Cynthia Kurta Set,Kurta Set,"Pink, White","Chanderi, Cotton","Thread Embroidery, Swarovski",This set features pearl blush chanderi cotton embroidered kurta highlighted with Swarovski crystals. It comes along with a lycra crepe churidar and an embroidered pearl blush-ivory dupatta,"The dress is a light peach-colored kurta with a round neckline and a button-down placket featuring four large buttons, adorned with intricate white floral embroidery around the neckline, placket, and cuffs, and it includes a sheer white dupatta with peach-colored floral embroidery along the edges.
"
white cotton kurta with floral embroidery,ruhma-kurta-set-ivory,Ruhma Kurta Set,Kurta Set,White,"Cotton, Mulmul","Pearl Work, Sequin Embroidery, Thread Embroidery","This set consists of an off-white cotton straight kurta, a pair of pants and a mul dupatta. All adorned with Parsi embroidery.","The dress is a white salwar kameez with gold embroidery, featuring floral patterns and scalloped edges, paired with light blue pants that also have gold embroidery at the cuffs.
"
white cotton kurta with floral embroidery,aairah-kurta-set,Aairah Kurta Set,Kurta Set,Peach,"Organza, Silk",Zardoz,This set features a silk organza a-line embroidered shirt with churidar and a peach organza dupatta.,"The ensemble features a light green, heavily embroidered kurta with a V-neckline and three-quarter sleeves, paired with matching fitted pants, and a sheer peach dupatta adorned with floral embellishments and a gold border.
"
white cotton kurta with floral embroidery,waheeda-kurta-set-ivory,Waheeda Kurta Set,Kurta Set,White,Cotton,Embroidery,This is an off-white cotton short kurta with flared sleeves and has been beautifully embellished with embroidered floral and bird motifs. It comes with a pair of embroidered off-white cotton pants and an embroidered off-white georgette dupatta.,"The dress is a three-piece set featuring an off-white kurta with a round neckline and delicate floral embroidery along the placket, a matching dupatta with a blue and yellow border and floral embroidery, and straight-leg pants with similar floral embroidery at the hem, the kurta also has gold floral print on the lower half.
"
white cotton kurta with floral embroidery,shazi-long-kurta-set-3358,Shazi Long Kurta Set,Kurta Set,White,Chanderi,"Thread Embroidery, Cut Work","Elevate your style with our off-white handwoven chanderi mulmul straight kurta set. This exquisite kurta features a stand collar with a slit, three-quarter sleeves, and a scalloped hemline that adds a graceful touch. Paired with ankle-length scalloped pants. The set is accentuated with delicate off-white silk thread embroidered floral motifs. Complete your look with a matching dupatta, enhanced with delicate cutwork, for a truly sophisticated ensemble.","The dress is a light-colored, possibly white or off-white, long-sleeved kurta with a V-neck and mandarin collar, featuring delicate floral embroidery along the neckline, sleeves, and side seams, complemented by matching embroidered pants.
"
white cotton kurta with floral embroidery,cynthia-kurta-set,Cynthia Kurta Set,Kurta Set,"Pink, White","Chanderi, Cotton","Thread Embroidery, Swarovski",This set features pearl blush chanderi cotton embroidered kurta highlighted with Swarovski crystals. It comes along with a lycra crepe churidar and an embroidered pearl blush-ivory dupatta,"The dress is a light peach-colored kurta with a round neckline and a button-down placket featuring four large buttons, adorned with intricate white floral embroidery around the neckline, placket, and cuffs, and it includes a sheer white dupatta with peach-colored floral embroidery along the edges.
"
white cotton kurta with floral embroidery,ruhma-kurta-set-ivory,Ruhma Kurta Set,Kurta Set,White,"Cotton, Mulmul","Pearl Work, Sequin Embroidery, Thread Embroidery","This set consists of an off-white cotton straight kurta, a pair of pants and a mul dupatta. All adorned with Parsi embroidery.","The dress is a white salwar kameez with gold embroidery, featuring floral patterns and scalloped edges, paired with light blue pants that also have gold embroidery at the cuffs.
"
white cotton kurta with floral embroidery,aairah-kurta-set,Aairah Kurta Set,Kurta Set,Peach,"Organza, Silk",Zardoz,This set features a silk organza a-line embroidered shirt with churidar and a peach organza dupatta.,"The ensemble features a light green, heavily embroidered kurta with a V-neckline and three-quarter sleeves, paired with matching fitted pants, and a sheer peach dupatta adorned with floral embellishments and a gold border.
"
